dataset_id,coluna_original,coluna_destino
01_restaurante_sergio_ativo,Produto,nome_produto_normalizado
02_Pizzaria_Verace_ativo,Produto,nome_produto_normalizado
03_Cafe_Gourmet_ativo,Produto,nome_produto_normalizado
04_Churrascaria_Premium_ativo,Produto,nome_produto_normalizado
05_Churrascaria_Top_ativo,Produto,nome_produto_normalizado
06_Lanchonete_saude_ativo,Produto,nome_produto_normalizado
07_Espetaria_Gaucha_ativo,Produto,nome_produto_normalizado
08_espetaria_gauchaii_ativo,Produto,nome_produto_normalizado
